#sample_a	sample_b	relatedness	hets_a	hom_alts_a	hets_b	hom_alts_b
Data2Cohort_P03_S1	Data2Cohort_P10_S1	0.267	4111	1959	4820	2115
Data2Cohort_P03_S1	Data2Cohort_P11_S1	0.216	3376	1603	2547	1534
Data2Cohort_P03_S1	Data2Cohort_P12_S1	0.128	2245	1424	3334	1754
Data2Cohort_P04_S1	Data2Cohort_P05_S1	0.09	4192	1903	2895	1595
Data2Cohort_P04_S1	Data2Cohort_P06_S1	0.202	4798	2734	3356	1533
Data2Cohort_P04_S1	Data2Cohort_P07_S1	0.033	2108	698	4731	2665
Data2Cohort_P04_S1	Data2Cohort_P08_S1	0.028	2321	1466	4322	2478
Data2Cohort_P04_S1	Data2Cohort_P09_S1	0.03	3189	977	4042	2468
Data2Cohort_P04_S1	Data2Cohort_P10_S1	0.11	2457	848	3889	2361
Data2Cohort_P04_S1	Data2Cohort_P11_S1	0.323	2339	1161	3200	974
Data2Cohort_P04_S1	Data2Cohort_P12_S1	0.303	2858	1638	2164	849
Data2Cohort_P05_S1	Data2Cohort_P06_S1	0.089	3743	2031	3932	2277
Data2Cohort_P05_S1	Data2Cohort_P07_S1	0.044	2425	1598	2659	1759
Data2Cohort_P05_S1	Data2Cohort_P08_S1	0.073	3483	1473	2267	761
Data2Cohort_P05_S1	Data2Cohort_P09_S1	0.184	3081	1593	2392	1352
Data2Cohort_P05_S1	Data2Cohort_P10_S1	0.019	3221	1914	4638	2582
Data2Cohort_P05_S1	Data2Cohort_P11_S1	0.443	2844	1031	3956	2665
Data2Cohort_P05_S1	Data2Cohort_P12_S1	0.377	3276	1877	2084	1380
Data2Cohort_P06_S1	Data2Cohort_P07_S1	0.146	3391	2212	2393	745
Data2Cohort_P06_S1	Data2Cohort_P08_S1	0.248	4488	2005	2473	1065
Data2Cohort_P06_S1	Data2Cohort_P09_S1	0.371	3077	964	3420	2211
Data2Cohort_P06_S1	Data2Cohort_P10_S1	0.187	3316	1684	4252	1632
Data2Cohort_P06_S1	Data2Cohort_P11_S1	0.208	2022	698	4521	2242
Data2Cohort_P06_S1	Data2Cohort_P12_S1	0.01	4904	3241	4626	2249
Data2Cohort_P07_S1	Data2Cohort_P08_S1	0.091	3012	1169	2033	1043
Data2Cohort_P07_S1	Data2Cohort_P09_S1	0.174	2085	1145	2125	1440
Data2Cohort_P07_S1	Data2Cohort_P10_S1	0.04	3070	1367	2634	1355
Data2Cohort_P07_S1	Data2Cohort_P11_S1	0.056	3921	2413	4179	2157
Data2Cohort_P07_S1	Data2Cohort_P12_S1	0.089	2860	1949	4382	2434
Data2Cohort_P08_S1	Data2Cohort_P09_S1	0.132	4948	2843	3901	2043
Data2Cohort_P08_S1	Data2Cohort_P10_S1	0.081	2247	684	2449	795
Data2Cohort_P08_S1	Data2Cohort_P11_S1	0.011	2384	1629	3458	1442
Data2Cohort_P08_S1	Data2Cohort_P12_S1	0.015	2791	1393	4247	2096
Data2Cohort_P09_S1	Data2Cohort_P10_S1	0.064	2639	1363	2797	1173
Data2Cohort_P09_S1	Data2Cohort_P11_S1	0.6	4839	1568	4276	2196
Data2Cohort_P09_S1	Data2Cohort_P12_S1	0.114	3036	1106	2588	1236
Data2Cohort_P10_S1	Data2Cohort_P11_S1	0.007	3216	1940	3132	1933
Data2Cohort_P10_S1	Data2Cohort_P12_S1	0.094	3610	1549	3681	1187
Data2Cohort_P11_S1	Data2Cohort_P12_S1	0.173	2827	1547	3358	1498
